충전소,충전량_kWh,충전일수,주소,X좌표,Y좌표,시군구명,도서관,민행기,변압기,전기차,경제인구수,주차면수,건물수
도원역 부근 공영주차장,41758.46000,637,인천광역시 중구 도원동 5-7  주차장 입구,126.64153,37.46704,중구,19,59,2006,173,234408.00000,69549.00000,227.00000
동구청앞 공영주차장,5429.37000,175,인천광역시 동구 금곡동 금곡로 68,126.64306,37.47292,동구,18,58,2171,218,214021.00000,69721.00000,236.00000
롯데마트 검단점,28768.72000,499,인천광역시 서구 원당대로 581 (마전동),126.66457,37.59453,서구,15,19,948,72,102521.00000,11805.00000,43.00000
롯데마트 부평역점,20124.35000,501,인천광역시 부평구 광장로 16 (부평동),126.72335,37.48957,부평구,11,71,2044,176,388851.00000,599263.00000,481.00000
롯데마트 연수점,16488.97000,335,"인천광역시 연수구 청능대로 87, 2층 206",126.67517,37.41512,연수구,9,44,2157,128,207730.00000,531226.00000,745.00000
롯데마트 영종도점,29106.06000,516,인천광역시 중구 흰바위로 51 지상주차장 4층,126.49121,37.49267,중구,1,9,196,41,22249.00000,3605.00000,20.00000
롯데마트 청라점,51481.52000,524,인천광역시 서구 청라 커낼로 252(경서동),126.63260,37.53466,서구,12,17,740,100,91392.00000,15909.00000,38.00000
마니산국민관광지,14954.29000,400,인천광역시 강화군 화도면 마니산로675번길 18,126.42380,37.63246,강화군,0,3,39,7,1646.00000,,
모탱이공원,11623.37000,222,인천광역시 계양구 동양동 607-1,126.75489,37.56187,계양구,1,20,356,50,93563.00000,37774.00000,63.00000
부원 공영주차장,36475.69000,589,인천광역시 부평구 부평동 341-193  주차장 입구 오른쪽,126.71936,37.49232,부평구,13,76,2110,177,389585.00000,600064.00000,484.00000
부평국민체육센터,13994.98000,295,"인천광역시 부평구 부평대로296번길 33 (갈산동, 부평구 다목적 실내체육관)",126.72347,37.51863,부평구,11,93,2783,277,454063.00000,644421.00000,526.00000
부평깡시장 공영주차장,4333.53000,131,인천광역시 부평구 부흥로 315,126.72685,37.49867,부평구,12,70,2182,183,371628.00000,619897.00000,502.00000
부평아트센터,12668.92000,334,"인천광역시 부평구 아트센터로 166 (십정동, 부평아트센터)",126.70516,37.48226,부평구,18,75,2871,115,429379.00000,149363.00000,427.00000
삼산농산물도매시장,6254.46000,257,"인천광역시 부평구 영성동로 46 (삼산동, 삼산농산물도매시장)",126.74900,37.52182,부평구,5,57,1416,189,286152.00000,548810.00000,311.00000
서곶근린공원 제1주차장,4226.91000,137,인천광역시 서구 연희동 산150-5,126.68152,37.54711,서구,15,26,813,119,147323.00000,61457.00000,168.00000
서림초교 뒤 공영주차장,18985.67000,408,인천광역시 동구 송림동 125-3,126.64820,37.47644,동구,19,54,2667,227,220838.00000,53544.00000,247.00000
서운체육공원 주차장,4720.24000,196,인천광역시 계양구 서운동 207,126.74750,37.53262,계양구,5,58,1361,151,264520.00000,134846.00000,245.00000
소래제1주차장,4506.32000,133,인천광역시 남동구 논현동 754-4,126.73644,37.39779,남동구,4,22,873,83,96225.00000,64321.00000,110.00000
송도골프,22123.05000,432,인천광역시 연수구 능허대로 236,126.65056,37.41487,연수구,9,43,875,197,195528.00000,567941.00000,634.00000
송도컨벤시아,25121.35000,496,"인천광역시 연수구 센트럴로 123 , 지하주차장 1층",126.64555,37.38814,연수구,4,29,558,238,122963.00000,212385.00000,246.00000
송림체육관,30617.47000,595,인천광역시 동구 염전로 30,126.64758,37.48439,동구,17,47,2645,202,171593.00000,37335.00000,211.00000
신기남부종합시장 주차장,7561.01000,142,인천광역시 미추홀구 주안동 1311-17,126.67865,37.44622,미추홀구,14,59,2329,150,380777.00000,151888.00000,409.00000
신문리 공영주차장,7411.52000,164,인천광역시 강화군 강화읍 향나무길 20 (신문리),126.47916,37.74653,강화군,1,9,185,32,17757.00000,875.00000,8.00000
십리포해수욕장 주차장,1561.03000,68,인천광역시 옹진군 영흥면 영흥북로 382,126.48647,37.28147,옹진군,1,2,34,8,1981.00000,65.00000,1.00000
아트센터인천,11356.43000,212,인천광역시 연수구 아트센터대로 222,126.62701,37.39378,연수구,3,20,392,176,80156.00000,100593.00000,117.00000
연세대학교 국제캠퍼스,53172.87000,656,인천광역시 연수구 송도동 162-1  포스코 그린빌딩 앞 주차장,126.66727,37.38151,연수구,4,24,1144,206,116956.00000,318829.00000,329.00000
연수구청,8931.53000,208,인천광역시 연수구 원인재로 115,126.67834,37.40949,연수구,8,45,2449,161,197542.00000,533177.00000,742.00000
열우물경기장,6591.65000,158,인천광역시 부평구 십정동 109-2,126.69283,37.47882,부평구,21,65,2985,155,371013.00000,87066.00000,336.00000
영종대교 휴게소 주차장,30137.35000,578,인천광역시 서구 경서동 산 257-4  지상 버스주차장 옆,126.60708,37.55390,서구,0,1,226,5,6767.00000,1483.00000,7.00000
영흥수산물직판장 주차장,11727.52000,408,인천광역시 옹진군 영흥면 내리 8-165  공중화장실 옆,126.49793,37.25545,옹진군,1,3,43,5,2511.00000,65.00000,1.00000
온수리 공영 주차장,9405.42000,190,인천광역시 강화군 길상면 온수리 546-34,126.49212,37.63915,강화군,0,3,71,20,3491.00000,242.00000,3.00000
온수리 제1공영주차장,1698.31000,75,인천광역시 강화군 길상면 마니산로 20,126.48966,37.64210,강화군,0,3,69,20,3466.00000,242.00000,3.00000
용유동사무소,21183.14000,513,인천광역시 중구 마시란로 308-13,126.40243,37.44390,중구,2,2,49,6,1757.00000,356.00000,2.00000
월미공원 제2주차장,2859.22000,100,인천광역시 중구 월미로 329,126.60027,37.47015,중구,6,12,627,36,35857.00000,6552.00000,47.00000
이마트 동인천점,17285.21000,235,인천광역시 중구 인중로 134,126.62917,37.46655,중구,15,55,1491,135,174147.00000,63083.00000,203.00000
이마트 연수점,7994.79000,356,"인천광역시 연수구 경원대로 184 , 주차장 옥상",126.68112,37.40422,연수구,6,42,2607,156,174484.00000,529071.00000,740.00000
인천경제산업정보테크노파크,56706.87000,481,인천광역시 연수구 갯벌로 12,126.65584,37.38254,연수구,4,31,756,245,123404.00000,241410.00000,266.00000
인천공항 정부합동청사,8148.95000,437,"인천광역시 중구 공항로424번길 47 , 정문 주차장",126.46134,37.44039,중구,0,0,46,10,510.00000,295.00000,1.00000
인천공항물류단지 행정지원센터,3976.65000,125,인천광역시 중구 공항동로 296번길 69,126.47748,37.47891,중구,1,5,215,36,20732.00000,3501.00000,19.00000
인천광역시 교통연수원,2078.84000,93,인천광역시 계양구 경명로 990,126.74032,37.56270,계양구,1,24,541,95,125859.00000,42212.00000,86.00000
인천교통공사 본사,5140.67000,163,인천광역시 남동구 경인로 674,126.70853,37.46982,남동구,8,67,2948,152,419900.00000,54552.00000,362.00000
인천나비공원 주차장,3330.10000,129,인천광역시 부평구 청천동 125-3,126.69700,37.52071,부평구,18,57,1762,154,329264.00000,99383.00000,258.00000
인천서구청,11003.50000,232,인천광역시 서구 서곶로 307,126.67559,37.54503,서구,18,30,925,142,169355.00000,63987.00000,180.00000
인천서구청 제1주차장,3224.46000,206,"인천광역시 서구 탁옥로51번길 26 , 서구청후문 주차타워 지상 1층",126.67598,37.54606,서구,18,29,869,134,163437.00000,62996.00000,174.00000
인천서구청소년수련관,4030.45000,157,인천광역시 서구 원창로 92,126.65922,37.51760,서구,28,33,1688,139,183371.00000,27381.00000,116.00000
인천시청,58794.76000,480,"인천광역시 남동구 정각로 29 , 정문 우측 경비실 앞",126.70470,37.45625,남동구,9,65,2740,181,420590.00000,56151.00000,314.00000
인천아시아드주경기장 D1주차장,31039.17000,219,인천광역시 서구 연희동 187-8,126.66883,37.54895,서구,19,25,930,148,145239.00000,65130.00000,171.00000
인천아시안게임 남동경기장 1주차장,10145.37000,174,인천광역시 남동구 수산동 394-54,126.73346,37.43923,남동구,1,41,1290,162,249593.00000,47810.00000,176.00000
인천업사이클 에코센터,23101.29000,449,인천광역시 미추홀구 매소홀로 292번길 7,126.66944,37.45183,미추홀구,14,64,2377,162,361516.00000,117475.00000,342.00000
인천전력관리처,10283.15000,304,인천광역시 부평구 주부토로 238,126.73162,37.51709,부평구,11,87,2760,272,443140.00000,639499.00000,530.00000
인천정보산업테크노파크,2382.64000,84,인천광역시 서구 로봇랜드로 155-11,126.61095,37.51974,서구,3,5,319,39,28689.00000,8537.00000,34.00000
인천직할,35338.48000,590,인천광역시 부평구 주부토로 246,126.72712,37.51691,부평구,11,91,2863,277,453644.00000,646216.00000,550.00000
인천항 갑문홍보관,2217.08000,88,"인천광역시 중구 월미로 376 (북성동1가, 인천항갑문)",126.60415,37.46711,중구,7,17,740,46,54289.00000,9093.00000,60.00000
인천항 크루즈터미널,37.93000,11,인천광역시 연수구 국제항만대로 438,126.59156,37.42469,연수구,0,1,116,13,6142.00000,88.00000,1.00000
장수서창 공영주차장,8414.03000,209,인천광역시 남동구 서창동 558-3,126.74758,37.43577,남동구,1,21,644,94,137004.00000,32543.00000,96.00000
중부지방고용노동청 별관 앞,53635.05000,650,인천광역시 남동구 구월3동 1111-6  중부지방고용노동청 별관 앞,126.69954,37.45113,남동구,10,57,2824,185,415559.00000,66770.00000,324.00000
차이나타운 주차장,13346.03000,407,인천광역시 중구 신포로27번길 80,126.62134,37.47408,중구,12,41,1213,109,132185.00000,46084.00000,182.00000
청라에너지,36130.49000,552,인천광역시 서구 봉수대로 696,126.66355,37.53822,서구,27,32,1166,158,185905.00000,41399.00000,139.00000
청라중앙호수공원 2주차장,10253.31000,213,인천광역시 서구 경서동 638-5,126.63640,37.52815,서구,13,21,887,115,110167.00000,16043.00000,46.00000
하나로마트 인천점,6853.27000,208,인천광역시 계양구 아나지로 341,126.73058,37.52606,계양구,8,77,2226,250,398234.00000,559262.00000,393.00000
한국환경공단(기후대기관),8303.00000,179,인천광역시 서구 환경로 42 기후대기관,126.63853,37.56914,서구,1,1,725,36,18100.00000,3029.00000,9.00000
현대시장 공영주차장,1234.69000,52,인천광역시 동구 송림동 49-172,126.64725,37.47702,동구,19,53,2618,225,209544.00000,49795.00000,236.00000
홈플러스 가좌점,1813.40000,126,"인천광역시 서구 가정로151번길 11 , 지하주차장 1층 M0구역",126.67070,37.49761,서구,24,40,2608,131,175259.00000,31831.00000,187.00000
홈플러스 계산점,11688.85000,318,인천광역시 계양구 오조산공원로 14,126.73618,37.53947,계양구,5,59,1560,155,274428.00000,95320.00000,199.00000
홈플러스 구월점,5795.48000,298,"인천광역시 남동구 예술로 198 , 지하주차장 4층 I4구역",126.70195,37.45174,남동구,9,59,2811,184,415357.00000,68260.00000,331.00000
홈플러스 인천연수점,45747.62000,421,인천광역시 연수구 청능대로 210,126.68362,37.40599,연수구,6,37,2628,149,170955.00000,529961.00000,736.00000
홈플러스 인하점,4000.83000,231,"인천광역시 미추홀구 소성로 6 , 주차장 옥상",126.65085,37.44706,미추홀구,18,59,1683,146,299819.00000,185852.00000,344.00000
홈플러스 작전점,17648.21000,331,인천광역시 계양구 계양대로 27,126.72126,37.52617,계양구,9,79,2300,256,412621.00000,576095.00000,395.00000
