충전소,충전량_kWh,충전일수,주소,X좌표,Y좌표,시군구명,도서관,민행기,변압기,전기차,경제인구수,주차면수,건물수
G-Tower(경제자유구역청),30259.44000,408,인천광역시 연수구 아트센터대로 175,126.63379,37.39574,연수구,3,23,501,211,99095.00000,111975.00000,134.00000
LH인천본부,63815.83000,612,인천광역시 남동구 논현로46번길 23,126.71239,37.40086,남동구,5,29,2481,108,130138.00000,204331.00000,321.00000
㈜현대자동차 블루핸즈 서인천 서비스 주차장 입구,10538.65000,375,인천광역시 서구 원삭로 160  주차장 입구 우측 완속충전기 옆,126.66633,37.56302,서구,11,20,863,110,93775.00000,61342.00000,163.00000
가좌2동 행정복지센터,7387.11000,196,인천광역시 서구 가좌동 30-105,126.68485,37.49084,서구,26,63,2627,136,294542.00000,118695.00000,294.00000
갈산역 공영주차장,3879.41000,131,인천광역시 부평구 갈산동 192,126.72349,37.51556,부평구,11,93,2862,251,453805.00000,646681.00000,553.00000
강화군청,29291.07000,517,"인천광역시 강화군 강화읍 강화대로 394 (관청리, 강화군청)",126.48773,37.74613,강화군,1,9,198,33,17881.00000,805.00000,7.00000
강화지사,10877.10000,342,"인천광역시 강화군 강화읍 강화대로 278 (갑곳리, 한국전력공사강화지점)",126.49913,37.74187,강화군,1,9,193,30,17457.00000,805.00000,7.00000
강화풍물시장 공영주차장,27766.94000,597,인천광역시 강화군 강화읍 갑곳리 849  고엽제전우회 건물 옆,126.49287,37.74142,강화군,1,9,202,32,17831.00000,805.00000,7.00000
검단2공영주차장,44358.60000,630,인천광역시 서구 당하동 1097-5  검단4동 주민센터 옆,126.67502,37.59202,서구,16,25,793,72,117455.00000,34317.00000,87.00000
계산1택지 공영주차장,27959.93000,606,인천광역시 계양구 계산동 1060  구두수선방 옆,126.73676,37.54099,계양구,6,57,1505,153,265288.00000,93260.00000,186.00000
계양구 공영주차장,26312.12000,579,"인천광역시 계양구 봉오대로 679-1 , 작전역 2번 출구 100m 앞",126.72446,37.53091,계양구,6,68,2047,239,344658.00000,516566.00000,314.00000
계양구청,37413.06000,482,인천광역시 계양구 계산새로 88,126.73776,37.53744,계양구,5,61,1590,161,281702.00000,127539.00000,234.00000
남동복지관,6835.96000,136,인천광역시 남동구 소래로 645,126.73307,37.44761,남동구,1,43,1532,180,272767.00000,52638.00000,201.00000
남인천지사,54738.75000,604,인천광역시 연수구 비류대로 304,126.66832,37.42504,연수구,9,53,1466,128,257351.00000,611152.00000,788.00000
늘솔길공원 3주차장,9586.64000,214,인천광역시 남동구 논현동 762-3,126.71980,37.38774,남동구,4,20,1592,83,78906.00000,66421.00000,127.00000
덕산국민여가캠핑장,5476.50000,202,인천광역시 강화군 내가면 고천리 산494,126.38051,37.71759,강화군,1,2,38,5,1417.00000,,
