충전소,충전량(kWh,충전일수,주소,X좌표,Y좌표,시군구명,경기장,공원,마트,도서관,변압기,전기차,학교,민행기_SN,주차면,교통량,생산가능인,음식점
연세대학교 국제캠퍼스,53172.87000,656,인천광역시 연수구 송도동 162-1  포스코 그린빌딩 앞 주차장,126.66727,37.38151,연수구,2,6,8,7,2641,325,45,25,535153.00000,4582.00000,191370.00000,2598
연수구청,8931.53000,208,인천광역시 연수구 원인재로 115,126.67834,37.40949,연수구,11,20,11,17,3873,346,88,59,767283.00000,6072.00000,401687.00000,5315
열우물경기장,6591.65000,158,인천광역시 부평구 십정동 109-2,126.69283,37.47882,부평구,7,47,7,45,6625,459,151,131,211544.00000,5328.00000,848429.00000,11711
영종대교 휴게소 주차장,30137.35000,578,인천광역시 서구 경서동 산 257-4  지상 버스주차장 옆,126.60708,37.55390,서구,0,13,2,6,819,101,10,2,8081.00000,2106.00000,66924.00000,573
영흥수산물직판장 주차장,11727.52000,408,인천광역시 옹진군 영흥면 내리 8-165  공중화장실 옆,126.49793,37.25545,옹진군,0,0,0,1,67,8,3,6,376.00000,7.00000,3883.00000,223
온수리 공영 주차장,9405.42000,190,인천광역시 강화군 길상면 온수리 546-34,126.49212,37.63915,강화군,0,0,0,0,144,32,4,4,1366.00000,2164.00000,5216.00000,261
온수리 제1공영주차장,1698.31000,75,인천광역시 강화군 길상면 마니산로 20,126.48966,37.64210,강화군,0,0,0,0,146,32,4,4,1298.00000,2212.00000,5291.00000,217
용유동사무소,21183.14000,513,인천광역시 중구 마시란로 308-13,126.40243,37.44390,중구,0,0,0,3,69,7,2,4,356.00000,389.00000,2150.00000,297
월미공원 제2주차장,2859.22000,100,인천광역시 중구 월미로 329,126.60027,37.47015,중구,3,12,2,15,1480,138,41,54,63978.00000,2187.00000,155256.00000,2949
이마트 동인천점,17285.21000,235,인천광역시 중구 인중로 134,126.62917,37.46655,중구,8,19,3,21,3350,245,70,78,140771.00000,3832.00000,280667.00000,5003
이마트 연수점,7994.79000,356,"인천광역시 연수구 경원대로 184 , 주차장 옥상",126.68112,37.40422,연수구,11,21,9,15,3689,376,87,53,740532.00000,5864.00000,378622.00000,4371
인천경제산업정보테크노파크,56706.87000,481,인천광역시 연수구 갯벌로 12,126.65584,37.38254,연수구,2,2,8,6,2011,313,44,23,505441.00000,4676.00000,187744.00000,2343
인천공항 정부합동청사,8148.95000,437,"인천광역시 중구 공항로424번길 47 , 정문 주차장",126.46134,37.44039,중구,0,0,1,0,96,11,2,3,701.00000,659.00000,1173.00000,289
인천공항물류단지 행정지원센터,3976.65000,125,인천광역시 중구 공항동로 296번길 69,126.47748,37.47891,중구,0,2,2,1,246,40,10,5,4031.00000,1050.00000,22665.00000,483
인천광역시 교통연수원,2078.84000,93,인천광역시 계양구 경명로 990,126.74032,37.56270,계양구,4,50,4,4,1293,133,54,28,68207.00000,3213.00000,228945.00000,2383
인천교통공사 본사,5140.67000,163,인천광역시 남동구 경인로 674,126.70853,37.46982,남동구,14,51,6,31,5649,365,142,120,244616.00000,5481.00000,789602.00000,10388
인천나비공원 주차장,3330.10000,129,인천광역시 부평구 청천동 125-3,126.69700,37.52071,부평구,4,70,11,48,4809,438,139,96,677317.00000,5244.00000,716326.00000,8279
인천서구청,11003.50000,232,인천광역시 서구 서곶로 307,126.67559,37.54503,서구,2,36,4,33,2406,223,65,40,79681.00000,5022.00000,334339.00000,3910
인천서구청 제1주차장,3224.46000,206,"인천광역시 서구 탁옥로51번길 26 , 서구청후문 주차타워 지상 1층",126.67598,37.54606,서구,2,36,4,33,2383,221,63,40,78563.00000,5009.00000,329241.00000,3848
인천서구청소년수련관,4030.45000,157,인천광역시 서구 원창로 92,126.65922,37.51760,서구,3,34,5,43,3591,287,65,46,88074.00000,4969.00000,357723.00000,4099
인천시청,58794.76000,480,"인천광역시 남동구 정각로 29 , 정문 우측 경비실 앞",126.70470,37.45625,남동구,16,43,5,21,4886,281,117,107,193236.00000,5994.00000,706262.00000,9688
인천아시아드주경기장 D1주차장,31039.17000,219,인천광역시 서구 연희동 187-8,126.66883,37.54895,서구,2,28,4,32,1922,224,56,30,73822.00000,4857.00000,278595.00000,2920
인천아시안게임 남동경기장 1주차장,10145.37000,174,인천광역시 남동구 수산동 394-54,126.73346,37.43923,남동구,11,34,5,5,2848,256,81,66,149436.00000,5255.00000,451286.00000,5732
인천업사이클 에코센터,23101.29000,449,인천광역시 미추홀구 매소홀로 292번길 7,126.66944,37.45183,미추홀구,19,33,9,29,5337,389,138,124,358593.00000,5706.00000,675993.00000,11057
인천전력관리처,10283.15000,304,인천광역시 부평구 주부토로 238,126.73162,37.51709,부평구,5,62,8,15,3588,314,121,76,685332.00000,3926.00000,581483.00000,6141
인천정보산업테크노파크,2382.64000,84,인천광역시 서구 로봇랜드로 155-11,126.61095,37.51974,서구,0,11,2,9,1136,98,17,10,27293.00000,2698.00000,86781.00000,1063
인천직할,35338.48000,590,인천광역시 부평구 주부토로 246,126.72712,37.51691,부평구,5,63,8,19,3647,312,128,80,686201.00000,4195.00000,609762.00000,6240
인천항 갑문홍보관,2217.08000,88,"인천광역시 중구 월미로 376 (북성동1가, 인천항갑문)",126.60415,37.46711,중구,4,12,2,14,1550,143,47,55,65788.00000,2402.00000,161371.00000,3111
인천항 크루즈터미널,37.93000,11,인천광역시 연수구 국제항만대로 438,126.59156,37.42469,연수구,0,1,2,4,787,101,22,12,92399.00000,2724.00000,98431.00000,1156
장수서창 공영주차장,8414.03000,209,인천광역시 남동구 서창동 558-3,126.74758,37.43577,남동구,6,26,5,2,1911,216,56,39,121004.00000,4232.00000,334682.00000,4044
중부지방고용노동청 별관 앞,53635.05000,650,인천광역시 남동구 구월3동 1111-6  중부지방고용노동청 별관 앞,126.69954,37.45113,남동구,16,41,5,19,4909,295,122,106,270808.00000,6063.00000,685036.00000,9767
차이나타운 주차장,13346.03000,407,인천광역시 중구 신포로27번길 80,126.62134,37.47408,중구,6,16,3,17,2877,222,60,63,79982.00000,3410.00000,208031.00000,4099
청라에너지,36130.49000,552,인천광역시 서구 봉수대로 696,126.66355,37.53822,서구,2,31,3,34,2557,235,56,35,77665.00000,4987.00000,301109.00000,3629
