충전소,충전량(kWh,충전일수,주소,X좌표,Y좌표,시군구명,경기장,공원,마트,도서관,변압기,전기차,학교,민행기_SN,교통량,주차면,생산가능인,음식점
인천공항물류단지 행정지원센터,3976.65000,125,인천광역시 중구 공항동로 296번길 69,126.47748,37.47891,중구,0,0,0,0,13,1,0,0,22.00000,,0.00000,0
인천광역시 교통연수원,2078.84000,93,인천광역시 계양구 경명로 990,126.74032,37.56270,계양구,0,0,0,0,29,0,0,0,88.00000,,1069.00000,2
인천교통공사 본사,5140.67000,163,인천광역시 남동구 경인로 674,126.70853,37.46982,남동구,0,0,0,1,145,7,4,2,114.00000,1467.00000,21164.00000,227
인천나비공원 주차장,3330.10000,129,인천광역시 부평구 청천동 125-3,126.69700,37.52071,부평구,0,0,0,0,96,2,1,0,56.00000,694.00000,7391.00000,18
인천서구청,11003.50000,232,인천광역시 서구 서곶로 307,126.67559,37.54503,서구,0,4,0,4,160,36,0,6,147.00000,8566.00000,24534.00000,361
인천서구청 제1주차장,3224.46000,206,"인천광역시 서구 탁옥로51번길 26 , 서구청후문 주차타워 지상 1층",126.67598,37.54606,서구,0,3,0,4,155,35,1,7,135.00000,6395.00000,23536.00000,347
인천서구청소년수련관,4030.45000,157,인천광역시 서구 원창로 92,126.65922,37.51760,서구,0,1,0,0,78,3,0,0,55.00000,58.00000,3781.00000,13
인천시청,58794.76000,480,"인천광역시 남동구 정각로 29 , 정문 우측 경비실 앞",126.70470,37.45625,남동구,0,0,0,0,124,17,4,2,138.00000,2797.00000,32707.00000,220
인천아시아드주경기장 D1주차장,31039.17000,219,인천광역시 서구 연희동 187-8,126.66883,37.54895,서구,1,1,0,1,27,2,3,0,164.00000,3261.00000,12613.00000,54
인천아시안게임 남동경기장 1주차장,10145.37000,174,인천광역시 남동구 수산동 394-54,126.73346,37.43923,남동구,1,1,0,0,16,7,2,0,141.00000,6423.00000,12794.00000,14
인천업사이클 에코센터,23101.29000,449,인천광역시 미추홀구 매소홀로 292번길 7,126.66944,37.45183,미추홀구,0,0,0,0,129,4,0,1,105.00000,128.00000,18527.00000,161
인천전력관리처,10283.15000,304,인천광역시 부평구 주부토로 238,126.73162,37.51709,부평구,0,0,0,1,73,11,3,1,116.00000,10503.00000,27153.00000,149
인천정보산업테크노파크,2382.64000,84,인천광역시 서구 로봇랜드로 155-11,126.61095,37.51974,서구,0,0,0,0,4,0,0,0,66.00000,,0.00000,1
인천직할,35338.48000,590,인천광역시 부평구 주부토로 246,126.72712,37.51691,부평구,0,2,0,1,83,14,3,1,116.00000,3392.00000,20898.00000,130
인천항 갑문홍보관,2217.08000,88,"인천광역시 중구 월미로 376 (북성동1가, 인천항갑문)",126.60415,37.46711,중구,0,0,0,0,6,0,1,0,54.00000,,0.00000,1
인천항 크루즈터미널,37.93000,11,인천광역시 연수구 국제항만대로 438,126.59156,37.42469,연수구,0,0,0,0,1,0,0,0,68.00000,,0.00000,0
장수서창 공영주차장,8414.03000,209,인천광역시 남동구 서창동 558-3,126.74758,37.43577,남동구,0,1,0,0,47,7,2,2,177.00000,6623.00000,14759.00000,41
중부지방고용노동청 별관 앞,53635.05000,650,인천광역시 남동구 구월3동 1111-6  중부지방고용노동청 별관 앞,126.69954,37.45113,남동구,0,1,1,0,151,10,3,6,106.00000,4812.00000,20941.00000,394
차이나타운 주차장,13346.03000,407,인천광역시 중구 신포로27번길 80,126.62134,37.47408,중구,0,1,0,3,76,26,4,5,48.00000,551.00000,5851.00000,359
청라에너지,36130.49000,552,인천광역시 서구 봉수대로 696,126.66355,37.53822,서구,1,0,0,0,6,4,1,0,138.00000,4513.00000,6817.00000,25
청라중앙호수공원 2주차장,10253.31000,213,인천광역시 서구 경서동 638-5,126.63640,37.52815,서구,0,1,0,2,27,6,1,0,67.00000,183.00000,10563.00000,48
하나로마트 인천점,6853.27000,208,인천광역시 계양구 아나지로 341,126.73058,37.52606,계양구,0,1,0,0,98,4,2,1,96.00000,5333.00000,25945.00000,142
한국환경공단(기후대기관),8303.00000,179,인천광역시 서구 환경로 42 기후대기관,126.63853,37.56914,서구,0,0,0,0,4,6,0,0,56.00000,,0.00000,0
현대시장 공영주차장,1234.69000,52,인천광역시 동구 송림동 49-172,126.64725,37.47702,동구,0,0,0,1,59,3,7,6,83.00000,547.00000,16744.00000,219
홈플러스 가좌점,1813.40000,126,"인천광역시 서구 가정로151번길 11 , 지하주차장 1층 M0구역",126.67070,37.49761,서구,0,0,1,2,75,18,2,2,92.00000,1904.00000,15021.00000,219
홈플러스 계산점,11688.85000,318,인천광역시 계양구 오조산공원로 14,126.73618,37.53947,계양구,0,5,2,0,121,53,3,7,142.00000,3402.00000,33252.00000,327
홈플러스 구월점,5795.48000,298,"인천광역시 남동구 예술로 198 , 지하주차장 4층 I4구역",126.70195,37.45174,남동구,0,0,1,0,205,10,2,5,122.00000,6684.00000,20608.00000,336
홈플러스 인천연수점,45747.62000,421,인천광역시 연수구 청능대로 210,126.68362,37.40599,연수구,0,0,1,0,60,8,1,0,70.00000,75264.00000,11547.00000,57
홈플러스 인하점,4000.83000,231,"인천광역시 미추홀구 소성로 6 , 주차장 옥상",126.65085,37.44706,미추홀구,0,0,1,0,27,5,3,1,112.00000,6689.00000,9279.00000,45
홈플러스 작전점,17648.21000,331,인천광역시 계양구 계양대로 27,126.72126,37.52617,계양구,0,2,1,0,122,2,1,1,95.00000,1914.00000,16991.00000,158
