gid,충전량_kWh,충전일수,충전소,건물수,생산가능인구,도서관,변압기,전기차,주차면수,학교,민행기_SN,음식점,경기장,대형마트,교통량,공원,Score
다사31ab44ba,0.0,0,0,4,953,0,24,4,334,1,2,25,0,0,5,0,0.43700459971850975
다사24ab34aa,0.0,0,0,4,1009,0,3,3,263,2,0,0,0,0,7,0,0.4363377463161462
다사28aa40ab,0.0,0,0,1,1614,0,26,0,52,0,0,68,0,0,7,0,0.43600449816051035
다사26ab36ba,54738.75,604,1,3,576,0,7,7,746,0,0,17,0,0,8,0,0.43441080011033334
다사32aa48bb,0.0,0,0,0,1519,0,4,1,0,2,0,2,0,0,7,0,0.4341946953680116
다사26bb50ab,0.0,0,0,6,2108,1,2,1,2151,1,0,10,0,0,7,0,0.43410078762961746
다사31ba44ab,0.0,0,0,7,1188,0,103,0,695,0,0,69,0,0,5,0,0.43293424023373067
다사31ba48bb,0.0,0,0,0,1973,0,10,1,0,0,0,63,0,0,7,0,0.4322925426478289
다사32bb48ab,0.0,0,0,1,5690,0,2,2,1285,0,0,6,0,0,6,0,0.43225096947849473
다사25ab32ba,0.0,0,0,2,372,0,4,0,124,2,0,3,0,0,8,0,0.4320994766891383
다사29ba38ba,0.0,0,0,3,725,0,14,0,263,0,1,70,0,0,7,0,0.43191364597466647
다사31ab48ab,0.0,0,0,2,1340,0,19,1,196,0,1,42,0,0,7,0,0.4318581098628947
다사29aa36aa,0.0,0,0,0,1738,0,2,1,0,1,0,3,0,0,8,0,0.43178655985009845
다사24ba32bb,0.0,0,0,6,1938,0,6,2,29352,0,0,22,0,0,8,0,0.4316022569547584
다사31bb38bb,0.0,0,0,1,0,0,3,12,305,0,2,1,0,0,6,0,0.43055299864702745
다사30ab40bb,0.0,0,0,0,1535,0,26,1,0,0,0,56,0,0,7,0,0.42949684178422354
다사26bb46bb,0.0,0,0,1,1388,0,25,1,138,0,0,60,0,0,7,0,0.4289478752125332
다사32ab48bb,0.0,0,0,2,1480,0,19,0,104,0,2,17,0,0,7,0,0.42843238706099573
다사29bb38ab,0.0,0,0,0,0,0,6,0,0,0,2,31,0,0,8,0,0.4276899868670089
다사33ab36ab,0.0,0,0,2,1225,0,4,5,215,0,0,15,0,0,8,0,0.4268880871188634
다사30ba39ba,0.0,0,0,0,2956,0,2,1,0,0,0,9,0,0,8,0,0.42655100889475417
다사31aa40ba,0.0,0,0,2,2053,0,17,1,357,0,0,49,0,0,7,0,0.42581945446141534
다사27aa35ab,16488.97,335,1,10,312,0,18,0,1072,0,0,55,0,1,5,0,0.42544126175935837
다사30ba39ab,0.0,0,0,0,1242,0,5,0,0,1,0,15,0,0,8,0,0.42517128459555953
다사31bb49ba,0.0,0,0,1,616,0,16,1,257,0,1,56,0,0,7,0,0.424426173926167
다사23ab32ab,0.0,0,0,0,2273,0,3,7,0,0,0,5,0,0,7,0,0.4243538742682666
다사25aa33aa,0.0,0,0,1,1637,0,1,1,58,1,0,0,0,0,8,0,0.424161327378237
다사24aa33aa,0.0,0,0,0,1608,0,4,3,0,0,0,53,0,0,7,0,0.4233001901904352
다사30aa39ab,0.0,0,0,3,1192,0,16,1,867,0,0,35,0,0,8,0,0.4230354742826483
다사31ba49aa,0.0,0,0,0,1476,0,5,0,0,0,1,53,0,0,7,0,0.4228651791740288
