충전소,충전량(kWh,충전일수,주소,X좌표,Y좌표,시군구명,경기장,공원,마트,도서관,변압기,전기차,학교,민행기_SN,음식점,주차면,교통량,생산가능인
온수리 공영 주차장,9405.42000,190,인천광역시 강화군 길상면 온수리 546-34,126.49212,37.63915,강화군,0,0,0,0,54,20,3,4,112,242.00000,743.00000,2968.00000
온수리 제1공영주차장,1698.31000,75,인천광역시 강화군 길상면 마니산로 20,126.48966,37.64210,강화군,0,0,0,0,57,19,3,4,111,242.00000,737.00000,2953.00000
용유동사무소,21183.14000,513,인천광역시 중구 마시란로 308-13,126.40243,37.44390,중구,0,0,0,2,22,6,2,3,70,,111.00000,1586.00000
월미공원 제2주차장,2859.22000,100,인천광역시 중구 월미로 329,126.60027,37.47015,중구,0,2,0,3,391,29,10,11,919,3236.00000,590.00000,18165.00000
이마트 동인천점,17285.21000,235,인천광역시 중구 인중로 134,126.62917,37.46655,중구,3,11,2,14,1094,115,49,53,2737,46136.00000,1325.00000,154947.00000
이마트 연수점,7994.79000,356,"인천광역시 연수구 경원대로 184 , 주차장 옥상",126.68112,37.40422,연수구,2,6,3,4,1989,109,30,19,1493,478062.00000,1839.00000,133238.00000
인천경제산업정보테크노파크,56706.87000,481,인천광역시 연수구 갯벌로 12,126.65584,37.38254,연수구,2,0,5,4,500,223,25,9,1006,138411.00000,2316.00000,109085.00000
인천공항 정부합동청사,8148.95000,437,"인천광역시 중구 공항로424번길 47 , 정문 주차장",126.46134,37.44039,중구,0,0,1,0,37,10,0,0,152,295.00000,255.00000,488.00000
인천공항물류단지 행정지원센터,3976.65000,125,인천광역시 중구 공항동로 296번길 69,126.47748,37.47891,중구,0,1,2,1,189,19,5,5,281,3431.00000,389.00000,16296.00000
인천광역시 교통연수원,2078.84000,93,인천광역시 계양구 경명로 990,126.74032,37.56270,계양구,1,26,1,1,342,46,19,9,673,35555.00000,1256.00000,91865.00000
인천교통공사 본사,5140.67000,163,인천광역시 남동구 경인로 674,126.70853,37.46982,남동구,3,12,2,4,1982,108,48,45,3734,33410.00000,1842.00000,311988.00000
인천나비공원 주차장,3330.10000,129,인천광역시 부평구 청천동 125-3,126.69700,37.52071,부평구,0,7,3,11,1247,82,37,30,1734,70481.00000,1630.00000,198388.00000
인천서구청,11003.50000,232,인천광역시 서구 서곶로 307,126.67559,37.54503,서구,2,15,0,15,635,105,18,16,1152,53221.00000,2088.00000,116915.00000
인천서구청 제1주차장,3224.46000,206,"인천광역시 서구 탁옥로51번길 26 , 서구청후문 주차타워 지상 1층",126.67598,37.54606,서구,2,16,0,14,624,107,19,16,1106,57593.00000,2072.00000,110915.00000
인천서구청소년수련관,4030.45000,157,인천광역시 서구 원창로 92,126.65922,37.51760,서구,0,5,3,23,1305,101,25,18,2008,20620.00000,1753.00000,151378.00000
인천시청,58794.76000,480,"인천광역시 남동구 정각로 29 , 정문 우측 경비실 앞",126.70470,37.45625,남동구,2,12,4,5,2191,141,47,47,5208,35168.00000,2145.00000,327184.00000
인천아시아드주경기장 D1주차장,31039.17000,219,인천광역시 서구 연희동 187-8,126.66883,37.54895,서구,2,18,0,15,726,122,21,14,1359,58008.00000,2081.00000,117473.00000
인천아시안게임 남동경기장 1주차장,10145.37000,174,인천광역시 남동구 수산동 394-54,126.73346,37.43923,남동구,3,17,0,1,888,129,29,24,1936,29617.00000,2282.00000,190126.00000
인천업사이클 에코센터,23101.29000,449,인천광역시 미추홀구 매소홀로 292번길 7,126.66944,37.45183,미추홀구,5,14,1,10,1712,116,40,45,4248,100865.00000,1776.00000,285477.00000
인천전력관리처,10283.15000,304,인천광역시 부평구 주부토로 238,126.73162,37.51709,부평구,4,38,3,9,2035,223,65,44,3385,577202.00000,1634.00000,345547.00000
인천정보산업테크노파크,2382.64000,84,인천광역시 서구 로봇랜드로 155-11,126.61095,37.51974,서구,0,3,0,0,246,30,3,1,138,6666.00000,785.00000,21654.00000
인천직할,35338.48000,590,인천광역시 부평구 주부토로 246,126.72712,37.51691,부평구,2,35,5,9,2110,195,67,47,3595,625806.00000,1631.00000,364687.00000
인천항 갑문홍보관,2217.08000,88,"인천광역시 중구 월미로 376 (북성동1가, 인천항갑문)",126.60415,37.46711,중구,0,2,1,5,512,32,11,15,1085,4906.00000,714.00000,28849.00000
인천항 크루즈터미널,37.93000,11,인천광역시 연수구 국제항만대로 438,126.59156,37.42469,연수구,0,0,0,0,95,14,1,0,18,146.00000,736.00000,5005.00000
장수서창 공영주차장,8414.03000,209,인천광역시 남동구 서창동 558-3,126.74758,37.43577,남동구,2,11,0,1,480,74,16,10,863,25074.00000,1663.00000,90892.00000
중부지방고용노동청 별관 앞,53635.05000,650,인천광역시 남동구 구월3동 1111-6  중부지방고용노동청 별관 앞,126.69954,37.45113,남동구,9,14,4,6,2095,131,46,52,5446,49520.00000,2203.00000,336424.00000
차이나타운 주차장,13346.03000,407,인천광역시 중구 신포로27번길 80,126.62134,37.47408,중구,3,10,2,10,821,68,29,40,1849,21056.00000,1080.00000,92666.00000
청라에너지,36130.49000,552,인천광역시 서구 봉수대로 696,126.66355,37.53822,서구,2,16,2,19,789,148,25,17,1728,32766.00000,2022.00000,155255.00000
