gid,충전량_kWh,충전일수,충전소,건물수,생산가능인구,도서관,변압기,전기차,주차면수,학교,민행기_SN,음식점,경기장,대형마트,교통량,공원,Score
다사27aa49bb,0.22295345841306144,0.6676829268292683,1.0,0.15384615384615385,0.035852372583479786,0.25,0.1643835616438356,0.9375,0.0019001056800350131,0.0,0.5,0.4050632911392405,0.0,0.0,0.7777777777777778,0.0,0.7810748860641968
다사32ab49aa,0.0,0.0,0.0,0.11538461538461539,0.14182776801405975,0.0,0.1232876712328767,0.96875,0.0040991043883901405,0.0,0.25,0.25949367088607594,0.0,0.0,0.7777777777777778,0.5,0.7363220909380084
다사31aa45ba,0.0,0.0,0.0,0.038461538461538464,0.044639718804920916,0.0,0.04794520547945205,0.90625,0.00016278995292434803,0.0,0.5,0.06962025316455696,0.0,0.0,0.7777777777777778,0.0,0.6666585197061307
다사25ab31ba,0.0,0.0,0.0,0.0,0.027065026362038665,0.0,0.02054794520547945,0.03125,0.0,0.0,0.0,0.3860759493670886,0.0,1.0,0.7777777777777778,0.0,0.6316253731525093
다사32aa49ba,0.0,0.0,0.0,0.038461538461538464,0.19789103690685414,0.0,0.08904109589041095,0.6875,0.0006858527524845483,0.3333333333333333,0.0,0.16455696202531644,0.0,0.0,0.7777777777777778,0.0,0.6275952986215184
다사32ba49aa,0.18316536821663215,0.4847560975609756,0.5,0.23076923076923078,0.12091388400702988,0.0,0.15753424657534246,0.03125,0.00457946818390461,0.0,0.0,0.7658227848101266,0.0,0.5,0.7777777777777778,0.0,0.6108428622731603
다사25aa48ab,0.0,0.0,0.0,0.0,0.45905096660808437,0.5,0.07534246575342465,0.03125,0.0,0.0,0.75,0.810126582278481,0.0,0.0,0.5555555555555556,0.0,0.5936669744689812
다사32ba48ba,0.0,0.0,0.0,0.07692307692307693,0.12794376098418278,0.0,0.1643835616438356,0.3125,0.0005150567363016257,0.0,0.25,0.7848101265822784,0.0,0.0,0.6666666666666666,0.5,0.5872276585101779
다사24bb32bb,0.0,0.0,0.0,0.038461538461538464,0.33725834797891036,0.25,0.0958904109589041,0.0625,0.013055220486982141,0.0,0.75,0.10759493670886076,0.0,0.0,0.8888888888888888,0.0,0.5515852359876967
다사31ab33bb,0.0,0.0,0.0,0.15384615384615385,0.10228471001757469,0.0,0.07534246575342465,0.03125,0.0047289146980646676,0.0,0.0,0.2468354430379747,0.0,1.0,0.5555555555555556,0.0,0.5472989886059685
다사29ab38ab,0.0,0.0,0.0,0.038461538461538464,0.0,0.0,0.00684931506849315,0.0,0.005815070613477941,0.0,0.0,0.16455696202531644,0.0,1.0,0.6666666666666666,0.0,0.5333435113937451
다사27ab35aa,0.0,0.0,0.0,0.038461538461538464,0.11775043936731107,0.0,0.0273972602739726,0.0625,0.0001734647039357807,0.6666666666666666,0.25,0.8544303797468354,0.0,0.0,0.5555555555555556,0.0,0.5323761601466991
다사32ba38ba,0.0,0.0,0.0,0.15384615384615385,0.11230228471001757,0.0,0.08904109589041095,0.03125,0.0005337375505716329,0.3333333333333333,0.75,0.759493670886076,0.0,0.0,0.5555555555555556,0.0,0.5315131759813506
다사30ba46aa,0.0,0.0,0.0,0.0,0.0,0.0,0.0136986301369863,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5555555555555556,0.0,0.526002447894496
다사29ab36ab,0.0,0.0,0.0,0.19230769230769232,0.2994727592267135,0.0,0.0821917808219178,0.03125,0.003501318331749912,0.3333333333333333,0.25,0.04430379746835443,0.0,0.0,1.0,0.0,0.5196098652850892
다사25bb43ba,0.0,0.0,0.0,0.11538461538461539,0.0,0.0,0.0273972602739726,0.8125,0.0020362087554307794,0.0,0.0,0.056962025316455694,0.0,0.0,0.6666666666666666,0.0,0.5180759303017904
다사33aa36bb,0.0,0.0,0.0,0.0,0.4439367311072056,0.0,0.0273972602739726,0.03125,0.0,0.3333333333333333,0.0,0.012658227848101266,0.0,0.0,1.0,0.5,0.512801620143719
다사32ba49ab,0.4381347073288869,0.9237804878048781,0.5,0.07692307692307693,0.32231985940246044,0.0,0.00684931506849315,0.03125,0.0017746773556506794,0.0,0.0,0.02531645569620253,0.0,0.5,0.7777777777777778,0.5,0.495945755273877
